word	ipa	variants_json	source
cûr	/kuːr/	[]	https://en.wiktionary.org/wiki/c%C3%BBr
fûc	/fuːk/	["/fouk/"]	https://en.wiktionary.org/wiki/f%C3%BBc
pôc	/poːk/	["/pouk/"]	https://en.wiktionary.org/wiki/p%C3%B4c
sêt	/seːt/	["/seit/"]	https://en.wiktionary.org/wiki/s%C3%AAt
fâ	/ˈfaː/	[]	https://en.wiktionary.org/wiki/f%C3%A2
fîl	/fiːl/	[]	https://en.wiktionary.org/wiki/f%C3%AEl
patî	/paˈti/	[]	https://en.wiktionary.org/wiki/pat%C3%AE
sufrî	/suˈfriː/	[]	https://en.wiktionary.org/wiki/sufr%C3%AE
nemâl	/neˈmaːl/	[]	https://en.wiktionary.org/wiki/nem%C3%A2l
ìsule	/ˈi.zu.le/	[]	https://en.wiktionary.org/wiki/%C3%ACsule
orele	/oˈrɛ.le/	[]	https://en.wiktionary.org/wiki/orele
strie	/ˈstriɛ/	["/ˈstria/"]	https://en.wiktionary.org/wiki/strie
glace	/ˈɡlat͡ʃe/	[]	https://en.wiktionary.org/wiki/glace
glaç	/ˈɡlat͡ʃ/	[]	https://en.wiktionary.org/wiki/gla%C3%A7
cjaval	/caˈval/	[]	https://en.wiktionary.org/wiki/cjaval
pît	/piːt/	["/peit/"]	https://en.wiktionary.org/wiki/p%C3%AEt
mûr	/muːr/	[]	https://en.wiktionary.org/wiki/m%C3%BBr
côr	/kɔːr/	[]	https://en.wiktionary.org/wiki/c%C3%B4r
